city,city_label,city_order,ntl_raw,fit,se,lo,hi
HongKong,Hong Kong,1,0.0067845810313867,1.940429117513252,0.2634516194151114,1.4240639434596334,2.45679429156687
HongKong,Hong Kong,1,0.006865171182232,1.9412246804712765,0.2634514742426012,1.424859790955778,2.4575895699867747
HongKong,Hong Kong,1,0.0069457613330773,1.9423039434642404,0.2634514504955685,1.425939100492926,2.4586687864355548
HongKong,Hong Kong,1,0.0070263514839226,1.9436585766958767,0.2634517469509814,1.427293152671954,2.460024000719801
HongKong,Hong Kong,1,0.0071069416347679,1.9452802503699205,0.2634525579231567,1.4289132368405333,2.461647263899308
HongKong,Hong Kong,1,0.0071875317856132,1.9471606346901031,0.2634540699200124,1.4307906576468787,2.4635306117333275
HongKong,Hong Kong,1,0.0072681219364585,1.9492913998601595,0.2634564585861704,1.432916741031265,2.4656660586890533
HongKong,Hong Kong,1,0.0073487120873038,1.9516642160838216,0.2634598859332812,1.4352828396545907,2.468045592513053
HongKong,Hong Kong,1,0.0074293022381491,1.9542707535648245,0.2634644978580091,1.4378803377631266,2.470661169366522
HongKong,Hong Kong,1,0.0075098923889944,1.9571026825069,0.2634704219481653,1.440700655488496,2.4735047095253044
HongKong,Hong Kong,1,0.0075904825398397,1.9601516731137831,0.2634777655774831,1.443735252581916,2.4765680936456502
HongKong,Hong Kong,1,0.007671072690685,1.963409395589206,0.2634866142895103,1.4469756315817657,2.4798431595966464
HongKong,Hong Kong,1,0.0077516628415303,1.9668675201369028,0.2634970304710441,1.450413340413656,2.483321699860149
HongKong,Hong Kong,1,0.0078322529923756,1.9705177169606067,0.2635090523154571,1.4540399744223107,2.4869954594989028
HongKong,Hong Kong,1,0.0079128431432209,1.9743516562640515,0.2635226930761664,1.4578471778347653,2.4908561346933373
HongKong,Hong Kong,1,0.0079934332940661,1.9783610082509693,0.2635379406103816,1.4618266446546215,2.494895371847318
HongKong,Hong Kong,1,0.0080740234449114,1.982537443125096,0.2635547572131413,1.4659701189873386,2.499104767262853
HongKong,Hong Kong,1,0.0081546135957567,1.9868726310901623,0.2635730797415107,1.4702693947968015,2.503475867383524
HongKong,Hong Kong,1,0.008235203746602,1.991358242349904,0.2635928200286835,1.474716315093684,2.508000169606124
HongKong,Hong Kong,1,0.0083157938974473,1.9959859471080528,0.2636138655875963,1.4793027705563642,2.5126691236597414
HongKong,Hong Kong,1,0.0083963840482926,2.0007474155683425,0.2636360806035472,1.4840206975853898,2.517474133551296
HongKong,Hong Kong,1,0.0084769741991379,2.005634317934508,0.2636593072152096,1.4888620757926965,2.522406560076318
HongKong,Hong Kong,1,0.0085575643499832,2.01063832441028,0.2636833670833475,1.4938189249269187,2.5274577238936407
HongKong,Hong Kong,1,0.0086381545008285,2.015751105199394,0.2637080632464896,1.4988833012362743,2.532618909162513
HongKong,Hong Kong,1,0.0087187446516738,2.020964330505583,0.2637331822627908,1.5040472932705131,2.537881367740653
HongKong,Hong Kong,1,0.0087993348025191,2.02626967053258,0.263758496637322,1.509303017123429,2.5432363239417315
HongKong,Hong Kong,1,0.0088799249533644,2.03165879548412,0.2637837675340739,1.5146426111173348,2.5486749798509045
HongKong,Hong Kong,1,0.0089605151042097,2.037123375563933,0.2638087477720418,1.5200582299307317,2.554188521197136
HongKong,Hong Kong,1,0.009041105255055,2.0426550809757567,0.2638331851048771,1.5255420381701976,2.559768123781316
HongKong,Hong Kong,1,0.0091216954059003,2.0482455819233216,0.263856825783746,1.5310862033871793,2.565404960459464
HongKong,Hong Kong,1,0.0092022855567456,2.053886548610362,0.2638794184032201,1.5366828885400503,2.571090208680673
HongKong,Hong Kong,1,0.0092828757075909,2.0595696512406114,0.2639007180302387,1.5423242439013434,2.5768150585798795
HongKong,Hong Kong,1,0.0093634658584362,2.065286560017803,0.2639204906164171,1.5480023984096256,2.582570721625981
HongKong,Hong Kong,1,0.0094440560092815,2.0710289451456707,0.263938517694223,1.5537094504649935,2.588348439826348
HongKong,Hong Kong,1,0.0095246461601268,2.0767884768279474,0.2639546013577963,1.5594374581666666,2.5941394954892285
HongKong,Hong Kong,1,0.009605236310972,2.082556825268367,0.263968569529427,1.56517842899069,2.599935221546044
HongKong,Hong Kong,1,0.0096858264618173,2.0883256606706624,0.2639802815129266,1.5709243089053264,2.6057270124359984
HongKong,Hong Kong,1,0.0097664166126626,2.094086653238567,0.2639896338353067,1.576666970921366,2.6115063355557684
HongKong,Hong Kong,1,0.0098470067635079,2.099831473175815,0.2639965663782928,1.5823982030743613,2.6172647432772687
HongKong,Hong Kong,1,0.0099275969143532,2.1055517906861394,0.2640010688012367,1.5881096958357157,2.622993885536564
HongKong,Hong Kong,1,0.0100081870651985,2.1112392784703813,0.2640031947355525,1.5937930167886982,2.6286855401520643
HongKong,Hong Kong,1,0.0100887772160438,2.11688565872429,0.2640032036596368,1.599439379551402,2.634331937897178
HongKong,Hong Kong,1,0.0101693673668891,2.1224826990928443,0.264001527910553,1.6050397043881603,2.639925693797528
