landuse,bin_left,bin_right,bin_mid,count,density,n
recreational,0.0051993133334572,0.0054462130265823,0.0053227631800197,113,0.0030800261665939,36688
recreational,0.0054462130265823,0.0056931127197074,0.0055696628731448,141,0.0038432184910597,36688
recreational,0.0056931127197074,0.0059400124128325,0.0058165625662699,53,0.0014446140427387,36688
recreational,0.0059400124128325,0.0061869121059576,0.006063462259395,29,0.0007904491931966,36688
recreational,0.0061869121059576,0.0064338117990827,0.0063103619525201,19,0.0005178805058874,36688
recreational,0.0064338117990827,0.0066807114922078,0.0065572616456452,31,0.0008449629306585,36688
recreational,0.0066807114922078,0.0069276111853329,0.0068041613387703,11,0.0002998255560401,36688
recreational,0.0069276111853329,0.007174510878458,0.0070510610318954,55,0.0014991277802006,36688
recreational,0.007174510878458,0.0074214105715831,0.0072979607250205,21,0.0005723942433493,36688
recreational,0.0074214105715831,0.0076683102647082,0.0075448604181456,4,0.0001090274749236,36688
recreational,0.0076683102647082,0.0079152099578333,0.0077917601112708,40,0.0010902747492368,36688
recreational,0.0079152099578333,0.0081621096509584,0.0080386598043959,4,0.0001090274749236,36688
recreational,0.0081621096509584,0.0084090093440835,0.008285559497521,3,8.177060619276058e-05,36688
recreational,0.0084090093440835,0.0086559090372086,0.0085324591906461,54,0.0014718709114696,36688
recreational,0.0086559090372086,0.0089028087303337,0.0087793588837712,0,0.0,36688
recreational,0.0089028087303337,0.0091497084234588,0.0090262585768963,7,0.0001907980811164,36688
recreational,0.0091497084234588,0.0093966081165839,0.0092731582700214,7,0.0001907980811164,36688
recreational,0.0093966081165839,0.009643507809709,0.0095200579631465,1,2.72568687309202e-05,36688
recreational,0.009643507809709,0.0098904075028341,0.0097669576562716,0,0.0,36688
recreational,0.0098904075028341,0.0101373071959592,0.0100138573493967,21,0.0005723942433493,36688
recreational,0.0101373071959592,0.0103842068890844,0.0102607570425218,1,2.72568687309202e-05,36688
residential,1.441977783e-05,0.0002613194709551,0.0001378696243925,38539,0.2270378857947415,169747
residential,0.0002613194709551,0.0005082191640802,0.0003847693175176,19031,0.1121139107023982,169747
residential,0.0005082191640802,0.0007551188572053,0.0006316690106427,12831,0.0755889647534271,169747
residential,0.0007551188572053,0.0010020185503304,0.0008785687037678,11854,0.069833340206307,169747
residential,0.0010020185503304,0.0012489182434555,0.0011254683968929,9784,0.0576387211556021,169747
