outcome,city,city_key,gii_group,region,gini,population_fraction,activity_fraction
night_female,Hong Kong,hong_kong,Low,East Asia,0.8887622846644305,0.21062407132243685,0.0
night_female,Hong Kong,hong_kong,Low,East Asia,0.8887622846644305,0.21322436849925705,0.0
night_female,Hong Kong,hong_kong,Low,East Asia,0.8887622846644305,0.21545319465081725,0.0
night_female,Hong Kong,hong_kong,Low,East Asia,0.8887622846644305,0.21805349182763745,0.0
night_female,Hong Kong,hong_kong,Low,East Asia,0.8887622846644305,0.22065378900445765,0.0
night_female,Hong Kong,hong_kong,Low,East Asia,0.8887622846644305,0.22288261515601784,0.0
night_female,Hong Kong,hong_kong,Low,East Asia,0.8887622846644305,0.22548291233283804,0.0
night_female,Hong Kong,hong_kong,Low,East Asia,0.8887622846644305,0.22808320950965824,0.0
night_female,Hong Kong,hong_kong,Low,East Asia,0.8887622846644305,0.2303120356612184,0.0
night_female,Hong Kong,hong_kong,Low,East Asia,0.8887622846644305,0.23291233283803864,0.0
night_female,Hong Kong,hong_kong,Low,East Asia,0.8887622846644305,0.23551263001485884,0.0
night_female,Hong Kong,hong_kong,Low,East Asia,0.8887622846644305,0.237741456166419,0.0
night_female,Hong Kong,hong_kong,Low,East Asia,0.8887622846644305,0.24034175334323923,0.0
night_female,Hong Kong,hong_kong,Low,East Asia,0.8887622846644305,0.24294205052005943,0.0
night_female,Hong Kong,hong_kong,Low,East Asia,0.8887622846644305,0.2451708766716196,0.0
night_female,Hong Kong,hong_kong,Low,East Asia,0.8887622846644305,0.24777117384843983,0.0
night_female,Hong Kong,hong_kong,Low,East Asia,0.8887622846644305,0.25,0.0
night_female,Hong Kong,hong_kong,Low,East Asia,0.8887622846644305,0.2526002971768202,0.0
night_female,Hong Kong,hong_kong,Low,East Asia,0.8887622846644305,0.2552005943536404,0.0
night_female,Hong Kong,hong_kong,Low,East Asia,0.8887622846644305,0.25742942050520057,0.0
night_female,Hong Kong,hong_kong,Low,East Asia,0.8887622846644305,0.2600297176820208,0.0
night_female,Hong Kong,hong_kong,Low,East Asia,0.8887622846644305,0.262630014858841,0.0
night_female,Hong Kong,hong_kong,Low,East Asia,0.8887622846644305,0.2648588410104012,0.0
night_female,Hong Kong,hong_kong,Low,East Asia,0.8887622846644305,0.2674591381872214,0.0
night_female,Hong Kong,hong_kong,Low,East Asia,0.8887622846644305,0.2700594353640416,0.0
night_female,Hong Kong,hong_kong,Low,East Asia,0.8887622846644305,0.27228826151560176,0.0
night_female,Hong Kong,hong_kong,Low,East Asia,0.8887622846644305,0.274888558692422,0.0
night_female,Hong Kong,hong_kong,Low,East Asia,0.8887622846644305,0.2774888558692422,0.0
night_female,Hong Kong,hong_kong,Low,East Asia,0.8887622846644305,0.2797176820208024,0.0
night_female,Hong Kong,hong_kong,Low,East Asia,0.8887622846644305,0.2823179791976226,0.0
night_female,Hong Kong,hong_kong,Low,East Asia,0.8887622846644305,0.2849182763744428,0.0
night_female,Hong Kong,hong_kong,Low,East Asia,0.8887622846644305,0.28714710252600295,0.0
