grid_id,lon,lat,grid_area_m2,Pop_Total,Pop_Tota_20_50,Pop_Female_20_50,Pop_Male_20_50,NDVI,walkability_global_z,walkability_city_z,gdp_2022,built_density_2020,ssx_choice_r5000,ssx_has_segment,gdp_source_distance_m,Female_Employment_Rate_15plus_WorldBank,Labour_force_participation_rate_F_Fig4,SDG11_71pct,SDG_3_1_Maternal_mortality_ratio,SDG_3_7_Adolescent_birth_rate,SDG_5_5_Share_of_seats_in_parliament,SDG_4_4_Population_with_at_least_some_secondary_education_F,city,NDVI_z,gdp_2022_z,built_density_2020_z,ssx_choice_r5000_z,Pop_Female_20_50_z,Pop_Male_20_50_z,Pop_Total_z,Female_Employment_Rate_15plus_WorldBank_z,Labour_force_participation_rate_F_Fig4_z,SDG11_71pct_z,SDG_3_1_Maternal_mortality_ratio_z,SDG_3_7_Adolescent_birth_rate_z,SDG_5_5_Share_of_seats_in_parliament_z,SDG_4_4_Population_with_at_least_some_secondary_education_F_z,land_use_type
970,174.4315347,-36.82610391,40000,12.99614746,7.355750124,3.651954956,3.703794861,0.8486,0.04685883,0.14094221,187463950,0.015349751,536005.2048,1,0,66.922,67.6,16.66,7,10.9,44.3,82.9,Auckland,1.966163642,-0.662359574,-1.568654459,-0.586612014,-0.629051815,-0.648870742,-0.640877983,0.859321343,1.001741062,-0.22112814,-0.386779547,0.017366229,0.804727617,0.124893344,recreational
971,174.431595,-36.82430279,40000,12.99614746,7.355750124,3.651954956,3.703794861,0.8486,-0.115696596,-0.005058183,187463950,0.019053083,431744.5077,1,0,66.922,67.6,16.66,7,10.9,44.3,82.9,Auckland,1.966163642,-0.662359574,-1.539767723,-0.608461339,-0.629051815,-0.648870742,-0.640877983,0.859321343,1.001741062,-0.22112814,-0.386779547,0.017366229,0.804727617,0.124893344,recreational
972,174.4316552,-36.82250167,40000,2.551729889,1.444265442,0.717043457,0.727221985,0.8706,-0.535169231,-0.462043883,187463950,0.022072282,716129.9228,1,0,66.922,67.6,16.66,7,10.9,44.3,82.9,Auckland,2.095981895,-0.662359574,-1.516217362,-0.548864296,-0.656243467,-0.676910369,-0.670927187,0.859321343,1.001741062,-0.22112814,-0.386779547,0.017366229,0.804727617,0.124893344,recreational
973,174.4317154,-36.82070054,40000,2.551729889,1.444265442,0.717043457,0.727221985,0.8706,-0.535169231,-0.462043883,187463950,0.022102656,599229.7115,1,0,66.922,67.6,16.66,7,10.9,44.3,82.9,Auckland,2.095981895,-0.662359574,-1.515980438,-0.573362412,-0.656243467,-0.676910369,-0.670927187,0.859321343,1.001741062,-0.22112814,-0.386779547,0.017366229,0.804727617,0.124893344,recreational
974,174.4317757,-36.81889942,40000,2.551729889,1.444265442,0.717043457,0.727221985,0.8706,-0.535169231,-0.462043883,187463950,0.015880882,30321.54109,1,0,66.922,67.6,16.66,7,10.9,44.3,82.9,Auckland,2.095981895,-0.662359574,-1.564511532,-0.692585279,-0.656243467,-0.676910369,-0.670927187,0.859321343,1.001741062,-0.22112814,-0.386779547,0.017366229,0.804727617,0.124893344,recreational
975,174.4318359,-36.81709829,40000,2.551729889,1.444265442,0.717043457,0.727221985,0.8706,-0.535169231,-0.462043883,187463950,0.00984503,44456.14449,1,0,66.922,67.6,16.66,7,10.9,44.3,82.9,Auckland,2.095981895,-0.662359574,-1.611592396,-0.68962317,-0.656243467,-0.676910369,-0.670927187,0.859321343,1.001741062,-0.22112814,-0.386779547,0.017366229,0.804727617,0.124893344,recreational
1233,174.433414,-36.83695906,40000,16.00458496,9.057271728,4.496592104,4.560678404,0.8371,-0.50806436,-0.319598315,164387580,0.006947882,972673.3094,1,0,66.922,67.6,16.66,7,10.9,44.3,82.9,Auckland,1.8983041,-0.66294592,-1.63419073,-0.495101949,-0.621226339,-0.640798809,-0.632222531,0.859321343,1.001741062,-0.22112814,-0.386779547,0.017366229,0.804727617,0.124893344,recreational
1234,174.4334742,-36.83515794,40000,16.00458496,9.057271728,4.496592104,4.560678404,0.8371,-0.461619952,-0.277883917,164387580,0.009941857,754138.1154,1,0,66.922,67.6,16.66,7,10.9,44.3,82.9,Auckland,1.8983041,-0.66294592,-1.610837123,-0.540899134,-0.621226339,-0.640798809,-0.632222531,0.859321343,1.001741062,-0.22112814,-0.386779547,0.017366229,0.804727617,0.124893344,recreational
1235,174.4335344,-36.83335682,40000,16.00458496,9.057271728,4.496592104,4.560678404,0.8371,-0.391953341,-0.21531232,164387580,0.009190476,357775.9013,1,0,66.922,67.6,16.66,7,10.9,44.3,82.9,Auckland,1.8983041,-0.66294592,-1.616698044,-0.623962521,-0.621226339,-0.640798809,-0.632222531,0.859321343,1.001741062,-0.22112814,-0.386779547,0.017366229,0.804727617,0.124893344,recreational
1236,174.4335946,-36.8315557,40000,16.00458496,9.057271728,4.496592104,4.560678404,0.8371,-0.099849938,0.041313964,165259778.4,0.007117197,232470.7322,1,0,66.922,67.6,16.66,7,10.9,44.3,82.9,Auckland,1.8983041,-0.662923759,-1.632870039,-0.650222017,-0.621226339,-0.640798809,-0.632222531,0.859321343,1.001741062,-0.22112814,-0.386779547,0.017366229,0.804727617,0.124893344,recreational
1237,174.4336548,-36.82975457,40000,15.72134522,8.702207032,4.300240784,4.401967164,0.8289,-0.166825473,-0.019417616,187463950,0.007233208,117815.2157,1,0,66.922,67.6,16.66,7,10.9,44.3,82.9,Auckland,1.849917297,-0.662359574,-1.631965129,-0.674249725,-0.623045514,-0.642293886,-0.633037428,0.859321343,1.001741062,-0.22112814,-0.386779547,0.017366229,0.804727617,0.124893344,recreational
1239,174.4337752,-36.82615232,40000,15.72134522,8.702207032,4.300240784,4.401967164,0.8289,-0.063761448,0.065511974,187463950,0.013807922,589609.912,1,0,66.922,67.6,16.66,7,10.9,44.3,82.9,Auckland,1.849917297,-0.662359574,-1.580681036,-0.575378379,-0.623045514,-0.642293886,-0.633037428,0.859321343,1.001741062,-0.22112814,-0.386779547,0.017366229,0.804727617,0.124893344,recreational
1240,174.4338354,-36.8243512,40000,15.72134522,8.702207032,4.300240784,4.401967164,0.8289,-0.485412829,-0.301740201,187463950,0.017244064,729404.3239,1,0,66.922,67.6,16.66,7,10.9,44.3,82.9,Auckland,1.849917297,-0.662359574,-1.553878436,-0.546082455,-0.623045514,-0.642293886,-0.633037428,0.859321343,1.001741062,-0.22112814,-0.386779547,0.017366229,0.804727617,0.124893344,recreational
1241,174.4338956,-36.82255007,40000,2.551729889,1.444265442,0.717043457,0.727221985,0.8706,-0.535169231,-0.462043883,187463950,0.019021841,353461.4438,1,0,66.922,67.6,16.66,7,10.9,44.3,82.9,Auckland,2.095981895,-0.662359574,-1.540011417,-0.624866677,-0.656243467,-0.676910369,-0.670927187,0.859321343,1.001741062,-0.22112814,-0.386779547,0.017366229,0.804727617,0.124893344,recreational
1242,174.4339557,-36.82074894,40000,2.551729889,1.444265442,0.717043457,0.727221985,0.8706,-0.26954978,-0.2311139,187463950,0.018327177,80051.20037,1,0,66.922,67.6,16.66,7,10.9,44.3,82.9,Auckland,2.095981895,-0.662359574,-1.545429935,-0.682163716,-0.656243467,-0.676910369,-0.670927187,0.859321343,1.001741062,-0.22112814,-0.386779547,0.017366229,0.804727617,0.124893344,recreational
1501,174.4355946,-36.83880857,40000,8.403457032,4.526333924,2.223515472,2.302818146,0.8486,-0.523379146,-0.400082865,164387580,0.002785216,666477.669,1,0,66.922,67.6,16.66,7,10.9,44.3,82.9,Auckland,1.966163642,-0.66294592,-1.666660369,-0.559269638,-0.642286159,-0.662068089,-0.654091423,0.859321343,1.001741062,-0.22112814,-0.386779547,0.017366229,0.804727617,0.124893344,recreational
1502,174.4356547,-36.83700745,40000,8.403457032,4.526333924,2.223515472,2.302818146,0.8486,-0.523379146,-0.400082865,164387580,0.005072866,1006563.959,1,0,66.922,67.6,16.66,7,10.9,44.3,82.9,Auckland,1.966163642,-0.66294592,-1.648816235,-0.487999677,-0.642286159,-0.662068089,-0.654091423,0.859321343,1.001741062,-0.22112814,-0.386779547,0.017366229,0.804727617,0.124893344,recreational
1506,174.4358954,-36.82980294,40000,15.72134522,8.702207032,4.300240784,4.401967164,0.8289,-0.392524014,-0.218311404,187463950,0.006007305,263714.6651,1,0,66.922,67.6,16.66,7,10.9,44.3,82.9,Auckland,1.849917297,-0.662359574,-1.641527426,-0.643674402,-0.623045514,-0.642293886,-0.633037428,0.859321343,1.001741062,-0.22112814,-0.386779547,0.017366229,0.804727617,0.124893344,recreational
1507,174.4359555,-36.82800182,40000,15.72134522,8.702207032,4.300240784,4.401967164,0.8289,-0.462190625,-0.280883001,187463950,0.008524581,488243.0063,1,0,66.922,67.6,16.66,7,10.9,44.3,82.9,Auckland,1.849917297,-0.662359574,-1.621892162,-0.596621268,-0.623045514,-0.642293886,-0.633037428,0.859321343,1.001741062,-0.22112814,-0.386779547,0.017366229,0.804727617,0.124893344,recreational
1509,174.4360758,-36.82439956,40000,15.72134522,8.702207032,4.300240784,4.401967164,0.8289,-0.086983652,0.044654775,187463950,0.014913976,230937.837,1,0,66.922,67.6,16.66,7,10.9,44.3,82.9,Auckland,1.849917297,-0.662359574,-1.572053592,-0.650543257,-0.623045514,-0.642293886,-0.633037428,0.859321343,1.001741062,-0.22112814,-0.386779547,0.017366229,0.804727617,0.124893344,recreational
1510,174.4361359,-36.82259843,40000,15.72134522,8.702207032,4.300240784,4.401967164,0.8289,0.288223322,0.370192551,187463950,0.01578823,34857.8286,1,0,66.922,67.6,16.66,7,10.9,44.3,82.9,Auckland,1.849917297,-0.662359574,-1.565234232,-0.691634635,-0.623045514,-0.642293886,-0.633037428,0.859321343,1.001741062,-0.22112814,-0.386779547,0.017366229,0.804727617,0.124893344,recreational
1511,174.436196,-36.8207973,40000,12.14517334,6.796246948,3.378128052,3.418118896,0.8595,0.281018035,0.332326251,187463950,0.014560844,49904.63664,1,0,66.922,67.6,16.66,7,10.9,44.3,82.9,Auckland,2.030482685,-0.662359574,-1.574808092,-0.68848136,-0.631588793,-0.651561839,-0.643326285,0.859321343,1.001741062,-0.22112814,-0.386779547,0.017366229,0.804727617,0.124893344,recreational
1512,174.4362561,-36.81899617,40000,12.14517334,6.796246948,3.378128052,3.418118896,0.8595,0.281018035,0.332326251,187463950,0.009664247,235368.0727,1,0,66.922,67.6,16.66,7,10.9,44.3,82.9,Auckland,2.030482685,-0.662359574,-1.613002535,-0.649614837,-0.631588793,-0.651561839,-0.643326285,0.859321343,1.001741062,-0.22112814,-0.386779547,0.017366229,0.804727617,0.124893344,recreational
1770,174.4378354,-36.83885692,40000,8.403457032,4.526333924,2.223515472,2.302818146,0.8486,-0.523379146,-0.400082865,164387580,0.002061222,842422.0014,1,0,66.922,67.6,16.66,7,10.9,44.3,82.9,Auckland,1.966163642,-0.66294592,-1.672307668,-0.522397979,-0.642286159,-0.662068089,-0.654091423,0.859321343,1.001741062,-0.22112814,-0.386779547,0.017366229,0.804727617,0.124893344,recreational
